#, topLargeRegion, bottomLargeRegion, topSmallRegion, bottomSmallRegion 
0, 2.8414621322746663, 3.315501409957929, 2.237519744294023, 2.050377430216219
1, 2.7398885613701873, 3.2481374386931687, 1.6330096292597212, 1.7433956783957685
2, 4.140852477245565, 4.254044953548462, 2.170201956912125, 2.149805281484
3, 4.354683163201799, 4.31163696538195, 2.212330981775479, 2.1153292181070555
4, 4.469212059850043, 4.018393854278743, 2.0403631553632167, 1.87581115386676
5, 4.562448747716362, 3.758414884602582, 1.970986986264818, 1.7143104178430735
6, 4.152503396270428, 3.650663500716277, 1.9152525252524537, 1.5438522641379167
7, 4.650010785608488, 3.68960295828006, 1.9060642479213192, 1.5559087473372513
8, 4.646662034811295, 3.978481092335436, 1.9270563477921074, 1.7037199267062737
9, 4.472644695737904, 4.185616304134372, 1.9645499108732198, 1.921805590923033
10, 4.171135171614021, 4.334820819460865, 1.9055447330445268, 2.0522607729958415
11, 4.0096509235952436, 4.262627790101103, 1.8287530062534447, 2.0133626177748636
12, 4.245699396832189, 4.510956651112965, 1.8275895316801107, 2.1381922398585242
13, 4.447454648152888, 4.804070686978924, 2.3895803978162684, 2.4975221709243103
14, 5.54084958427795, 4.296320532830582, 4.27478011406567, 3.2370590256303284
15, 4.091550647387224, 3.2030647878197755, 2.8955354909639537, 1.8921743283171086
16, 3.946077067190086, 3.4295225501264013, 2.679298234445004, 1.8879623786271316
17, 3.6773885305924807, 3.196671280344639, 2.3835617398473636, 1.7010935889506784
18, 3.6263897983444577, 3.18304689552665, 2.203298107122171, 1.7043378462500114
19, 3.603810797045712, 3.3336981828300805, 2.1558254817076192, 1.8383255278393937
20, 3.4362602515749967, 3.280400574370808, 1.9569106329398276, 1.8692931414988205
21, 3.559395355326723, 3.622416954538798, 2.0672482399758763, 1.9995399157523908
22, 3.4817335621113354, 3.578355185947506, 2.00694677871127, 2.033170788077851
23, 3.862858033996851, 3.794247395296917, 2.2789683291248335, 2.209595132876634
24, 3.901036962075217, 3.7456260710582745, 2.3524175375686305, 2.197312081857135
25, 4.215251250712239, 4.069335344746238, 2.5222254806126823, 2.397963759008727
26, 4.163651652580677, 4.045807468821311, 2.485843479437505, 2.374028153559663
27, 4.7829278188957405, 4.805464966810573, 3.087129823581552, 3.406932098990432
