#, topLargeRegion, bottomLargeRegion, topSmallRegion, bottomSmallRegion 
0, 2.954533214031533, 3.4281914094579657, 2.2994651584975023, 2.176591180623521
1, 2.713737373737516, 3.3901001673225717, 1.7130629093129974, 1.9013819513820536
2, 3.938297623969495, 4.45161104219512, 2.233140996430098, 2.3711533252318997
3, 4.10398969115029, 4.524392078518615, 2.2448269734381445, 2.349389077106529
4, 4.136741637420767, 4.23131811946638, 2.056142776976166, 2.1113512105179466
5, 4.2091159191365985, 3.9787892742832076, 1.9526239912351566, 1.958069250708188
6, 3.974977051950437, 3.876067975426003, 1.9134972857829189, 1.789494030813834
7, 4.2928787089843645, 3.91414830593651, 1.9262954717239642, 1.8027779839207647
8, 4.303011848960595, 4.206268746182615, 1.971396103896573, 1.954575941488184
9, 4.1674132967810245, 4.411232168138015, 2.0358128908126685, 2.1720426251306213
10, 3.995196094149916, 4.558279564204056, 2.025779008572913, 2.2997479129989395
11, 3.8551703045612045, 4.488977522921953, 1.9816692131402824, 2.2644498203327115
12, 3.994354792648112, 4.74213413057322, 2.00225793286363, 2.395908362120048
13, 4.314057076628921, 4.918841625364552, 2.441028279999459, 2.6198329430592855
14, 5.762797936533169, 4.5165320257971615, 4.7862622139763245, 3.4682798735654528
15, 4.325871300558968, 3.4350280649054885, 3.4135407819692194, 2.137686112828893
16, 4.184158872676939, 3.6707499767579863, 3.1965511558155186, 2.1435618792969455
17, 3.9075386976337896, 3.429278973023301, 2.8734373668658253, 1.9505910704201916
18, 3.866514884293596, 3.4238006212594287, 2.7382599807606383, 1.9603624480099753
19, 3.8465626490023346, 3.572840833302627, 2.7230250686130155, 2.0911391223153695
20, 3.6824045308355036, 3.5226380769695367, 2.5471959086662164, 2.1261207249695975
21, 3.813085070145235, 3.8676319055330217, 2.6770062821582745, 2.2616599618118753
22, 3.728530318224907, 3.8165276413591602, 2.6087501061027676, 2.2862890812888272
23, 4.127387020558772, 4.049236755308623, 2.9247215458156193, 2.4790346170036424
24, 4.155455079898772, 3.9880861633183486, 2.9862645211124663, 2.4578661402273476
25, 4.486005104237058, 4.3309361887474145, 3.224981846110994, 2.674033809679078
26, 4.425037143926521, 4.293362311465462, 3.174101957071069, 2.641603159572193
27, 5.079912960176006, 4.896394050416476, 3.904884715046155, 3.4745237639874325
